VH,HomeTeam,AwayTeam,Conference
N,Liberty,FlaGulfCoast,ASUN
N,Maine,StonyBrook,America East
N,Oklahoma,OklahomaSt,Big 12
N,Baylor,BYE,Big 12
N,KansasSt,BYE,Big 12
N,IowaSt,BYE,Big 12
N,Kansas,TexasTech,Big 12
N,TCU,BYE,Big 12
N,WestVirginia,BYE,Big 12
N,Texas,BYE,Big 12
N,Idaho,MontanaSt,Big Sky
N,Hawaii,UCDavis,Big West
N,CalPolySLO,CalSantaBarb,Big West
N,Rice,Marshall,CUSA
N,MiddleTennSt,LouisianaTech,CUSA
N,OldDominion,UTEP,CUSA
N,WesternKentucky,CharlotteU,CUSA
N,NCWilmington,Drexel,Colonial
N,Northeastern,Towson,Colonial
N,Elon,JamesMadison,Colonial
N,Delaware,WilliamMary,Colonial
N,Columbia,Princeton,
N,Yale,Pennsylvania,
N,Quinnipiac,Rider,MAAC
N,Fairfield,Marist,MAAC
N,Toledo,Ohio,MAC
N,EasternMichigan,KentSt,MAC
N,MDEastShore,NCCentral,MEAC
N,MorganSt,NorfolkSt,MEAC
N,IndianaSt,LoyolaChicago,Missouri Valley
N,MissouriSt,BYE,Missouri Valley
N,NorthernIowa,BYE,Missouri Valley
N,IllinoisSt,BYE,Missouri Valley
N,Evansville,SoIllinois,Missouri Valley
N,Drake,BYE,Missouri Valley
N,Valparaiso,BYE,Missouri Valley
N,Bradley,BYE,Missouri Valley
N,FairDickinson,MountStMarys,Northeast
N,SacredHeart,RobertMorris,Northeast
N,Lehigh,BostonU,Patriot
N,HolyCross,Bucknell,Patriot
N,AlabamaAM,JacksonSt,SWAC
N,Southern,TexasSouthern,SWAC
N,SELouisiana,NewOrleans,Southland
N,SamHoustonSt,BYE,Southland
N,TexasAMCorpus,BYE,Southland
N,BYE,BYE,Southland
N,IncarnateWord,NichollsSt,Southland
N,AbileneChristian,BYE,Southland
N,StephenFAustin,BYE,Southland
N,BYE,BYE,Southland
N,ULLafayette,Troy,Sun Belt
N,SouthAlabama,CoastalCarolina,Sun Belt
N,UMKC,BYE,WAC
N,NewMexicoSt,BYE,WAC
N,Seattle,BYE,WAC
N,GrandCanyon,CSBakersfield,WAC
N,Presbyterian,Campbell,Big South
N,USCUpSt,Radford,Big South
N,GardnerWebb,Hampton,Big South
N,NCAsheville,HighPoint,Big South
N,Dayton,BYE,A-10
N,NCSt,BYE,ACC
N,Connecticut,BYE,American
N,Depaul,BYE,Big East
N,Maryland,BYE,Big Ten
N,IUPUI,BYE,Horizon
N,Princeton,BYE,Ivy
N,BoiseSt,BYE,Mountain West
N,SEMissouriSt,BYE,Ohio Valley
N,Oregon,BYE,Pac-12
N,SouthCarolina,BYE,SEC
N,Samford,BYE,Southern
N,SouthDakota,BYE,Summit
N,PortlandU,BYE,WCC
