"","x"
"1",0.530589795243397
"2",1
"3",0.468787802087828
"4",0.267324780536003
"5",0.241461720579866
"6",0.429230155293115
"7",0
"8",0.10968471581798
"9",0.087917051921704
"10",0.543531056194405
"11",0.14091221779307
"12",0.107152558746129
"13",0.214772370198062
"14",0.164257520129365
"15",0.0824859517386803
"16",0.252565253622542
"17",0
"18",0.271879523190588
"19",0.172099293017768
"20",0.23364125322835
"21",0.0614321978917924
"22",0.363383959633854
"23",0.0543538631818748
"24",0.130340901789258
"25",0
"26",0.0271711230846008
"27",0.226375496164068
"28",0.0794734364747615
"29",0.0764351403446398
"30",0.0444567699996808
"31",0.0333409683904765
"32",0.122440875986787
"33",1
"34",0.125394943077841
"35",0.22585557136689
"36",0.0200298916352671
"37",0.140068540926131
"38",0.0857856649562412
"39",0
"40",0.0182368823416347
"41",0.189765647092273
"42",0.183749274332969
"43",0
"44",0
"45",0.0425071692458401
"46",0.0506369899060571
"47",0.0401120705006961
"48",0.081542168004889
"49",0.113712539380278
"50",0.0207933250556907
"51",0.140873318527262
"52",0.125198392210447
"53",0.0411426532092345
"54",0
"55",0
"56",0.0405706172006857
"57",0.00749221775864522
"58",0.026322198557686
"59",0
"60",0.0326857152814869
"61",0.10387512938468
"62",0.519610854948518
"63",0.0174485435376368
"64",0.0636235506910809
"65",0.00757916161185189
"66",0.0530142257157642
"67",0.0598805932661233
"68",0.0200684523892921
"69",0
"70",0
"71",1
"72",0.0245087380523404
"73",0
"74",0
"75",0.378524083534947
"76",0.0226722446359015
"77",0
"78",0
"79",1
"80",0
"81",0.881287831350449
"82",0.0745182024078732
"83",0
"84",0.245341847826695
"85",0.0199089173674832
"86",0
"87",0.0137666943968967
"88",0
"89",0.379016447388733
"90",0.36856032520791
"91",0.0709337559012135
"92",0.0407923529397825
"93",0.0156878235904988
"94",0
"95",0.00829886071890731
"96",0.00246955490794467
"97",0.0309084804539196
"98",0
"99",0
"100",0
"101",0.0112896954900559
"102",1
"103",0.447905961022778
"104",0
"105",0
"106",0
"107",0
"108",0
"109",0.597027854360014
"110",0.448804919467992
"111",1
"112",0.155234246725629
"113",0.280693170059474
"114",0
"115",0.141963079422634
"116",0.00752292589519988
"117",0
"118",0.00882187639188872
"119",0.146179975978336
"120",0
"121",0
"122",0
"123",0.00538737865503597
"124",0
"125",0.620030161563271
"126",0.245610842121944
"127",1
"128",0
"129",0.181227283977436
"130",0.0118235203589616
"131",0
"132",1
"133",0
"134",0
"135",0
"136",0
"137",1
"138",0
"139",0
"140",0
"141",0.00209311100171548
"142",0
"143",0.171157697436604
"144",0.0848887170510756
"145",0.183859042469317
"146",0
"147",0.0988303306931495
"148",0.0679438299720549
"149",0
"150",0
"151",0
"152",0.00843241838561257
"153",0.0516958430201921
"154",0.11852188788708
"155",0
"156",0
"157",0
"158",0
"159",0.209257576790837
"160",0.0846487653789969
"161",0
"162",0
"163",0.0489171001359338
"164",1
"165",0
"166",0
"167",0
"168",0
"169",0.122624154385961
"170",0.00086366120013943
"171",0.00214479936003584
"172",0
"173",1
"174",0.0662277324531696
"175",0
"176",0.000558606479955764
"177",0
"178",0
"179",0
"180",0.0686283471033041
"181",0.00071911038153933
"182",0.386909119292794
"183",0
"184",0.0286789732676828
"185",0
"186",0.0735252825101039
"187",0.224945348935079
"188",0.0875812037550289
"189",0
"190",0.081174087104928
"191",0
"192",0
"193",0.0236640755168651
"194",0
"195",0
"196",0
"197",0.146113712929469
"198",0.000305152042031252
"199",0
"200",0
"201",0
"202",0.171337223894997
"203",0.277908405724158
"204",0
"205",0
"206",0
"207",0
"208",0
"209",0.497411780959165
"210",0
"211",0.0812722335960653
"212",0
"213",0
"214",0.0710733577685126
"215",0.045290225279054
"216",0.0632741185512879
"217",0
"218",0
"219",0
"220",0.110886611497169
"221",0
"222",0
"223",0.124266416688542
"224",0
"225",0.026066521261091
"226",1
"227",0
"228",0
"229",0
"230",0
"231",0
"232",0
"233",0
"234",0
"235",0
"236",0
"237",0
"238",0.000108919539843772
"239",0.0142653699095974
"240",0
"241",0
"242",0
"243",0
"244",0.118712168649551
"245",0.0513014023049632
"246",0.0466850502103875
"247",0
"248",0
"249",0
"250",0
"251",0.0280697189846884
"252",0
"253",0
"254",0.0536235190685305
"255",0
"256",0.239885282270961
"257",0.0595604220521301
"258",0
"259",0
"260",0
"261",0.0304788933276448
"262",0
"263",0
"264",0
"265",0
"266",0.0384098856534316
"267",0
"268",0
"269",0.044528200644918
"270",0
"271",0
"272",0
"273",0
"274",0
"275",0
"276",0
"277",0.0372140693921486
"278",0
"279",0
"280",0
"281",0
"282",0
"283",0.00723292047282938
"284",0
"285",0
"286",0.142873887196928
"287",0.28355813651562
"288",0.23759788483617
"289",0.202936011785097
"290",0
"291",0
"292",0.175029423060039
"293",0
"294",0
"295",0
"296",0
"297",0
"298",0
"299",0.0105714287830579
"300",0
"301",0
"302",0
"303",0.124622784195699
"304",0
"305",0
"306",0
"307",0.0157445701987338
"308",0
"309",0
"310",0
"311",0
"312",0
"313",0
"314",0
"315",0
"316",0
"317",0.00541072557286597
"318",0.0709105602800467
"319",0
"320",0
"321",0
"322",0
"323",0
"324",0
"325",0
"326",0
"327",0
"328",0
"329",0
"330",0
"331",0
"332",0
"333",0
"334",0
"335",0
"336",0.0251742489002731
"337",0
"338",0
"339",0
"340",0
"341",0
"342",0
"343",0
"344",0
"345",0
"346",0
"347",0
"348",0
"349",0
"350",0
"351",0
"352",0
"353",4.82746725743484e-06
"354",0
